doc_id,source,category,title,text,date
2605.13681v1,arxiv,scientific,Sampling from Flow Language Models via Marginal-Conditioned Bridges,"Sampling from Flow Language Models via Marginal-Conditioned Bridges

Flow Language Models (FLMs) are a recently introduced class of language models which adapt continuous flow matching for one-hot encoded token sequences. Their denoisers have a special structure absent from generic continuous diffusion models: each block of the denoising mean is a posterior marginal distribution over the clean token at that position. Standard DDPM-style samplers collapse these marginals to a single conditional-mean endpoint and bridge toward this simplex-valued point, which is generally not a valid one-hot sequence. We argue that the natural sampler for an FLM is instead posterior-predictive. At each reverse step, we sample a clean one-hot endpoint from the factorized posterior defined by the FLM token marginals, and then sample the next continuous state from the analytic Ornstein--Uhlenbeck bridge conditioned on that endpoint. The method is training-free, uses the same model evaluations as standard sampling, and gives a principled interface for token-level decoding controls such as temperature scaling and nucleus truncation. We show that, under exact posterior marginals, the endpoint approximation error is exactly the conditional multi-information among token positions. The induced one-step bridge kernel preserves all token-wise posterior-predictive marginals and loses only the residual cross-position dependence. Finally, we prove a Girsanov path-space comparison showing that the marginal-conditioned bridge has a no-larger denoising-error term than the frozen conditional-mean bridge, with strict improvement whenever intermediate coordinate-wise bridge observations reveal additional information about the clean token. Experiments with FLMs show that the sampler improves the quality--diversity tradeoff. Code is available at: github.com/imbirik/mcb.",2026-05-13T15:38:48Z
2605.10400v1,arxiv,financial,Resolution-Aware Perpetual Futures on Binary Prediction Markets: An Empirical Risk-Design Framework Using Polymarket Data,"Resolution-Aware Perpetual Futures on Binary Prediction Markets: An Empirical Risk-Design Framework Using Polymarket Data

We develop and counterfactually evaluate a resolution-aware risk-design framework (PIRAP) for perpetual futures whose underlying tracks a single binary prediction-market probability through resolution. The framework specifies six components: an index estimator combining mid-price, depth-weighted mid, and time-decayed VWAP; jump-aware tiered margin sized against bounded-event terminal-collapse magnitude; leverage compression schedule contracting toward resolution; resolution-aware funding rule with boundary-aware correction; a multi-stage halt protocol; and an eligibility framework. Two formal non-portability propositions establish that standard basis-only funding paired with continuous-vol static margin fails on bounded-event underlyings. Empirical evaluation uses Polymarket's PMXT v2 archive for 2026-04-21 to 2026-04-27 (13,298-market analysis sample passing adequacy gates from 61,087 ingested; 13,115 resolved within the empirical window for E3). E1 evaluates two pre-registered stylized facts; E2 conducts counterfactual replay across three engine configurations; E3 isolates the resolution-zone protocol's contribution. Results are mixed. Five pre-registered floors: stylized-fact floors (boundary depth asymmetry, terminal-jump magnitude) PASS; welfare-side directional floors (final-hour liquidation -6%, drawdown -5.1% pooled, median PnL +14%) two FAIL one PASS; E3 mechanic floors (final-hour liquidation -80% by halt construction PASS; bad-debt frequency +2.4% FAIL). Three of five materiality floors fail: the framework as specified does not validate deployment, but the empirical record establishes a halt-versus-margin scope distinction (halt addresses execution-channel risk; terminal-jump bad-debt remains margin-side) and documents a pre-emption trade-off constraining the dynamic-margin component. The paper concludes with structural recommendations and explicit non-deployable status.",2026-05-11T11:41:44Z
pubmed_42030229,pubmed,medical,Community engagement for vaccine delivery in low- and middle-income countries and humanitarian settings: A scoping umbrella review.,"Community engagement for vaccine delivery in low- and middle-income countries and humanitarian settings: A scoping umbrella review.

Vaccination is a critical public health intervention in humanitarian and low- and middle-income country (LMIC) settings, where populations face heightened risks of vaccine-preventable diseases. Community Engagement (CE) offers a pathway to address challenges related to local ownership, trust, and acceptance, yet its effectiveness in these contexts remain underexplored. We conducted an umbrella scoping review of published reviews to synthesise evidence on the role of CE in vaccination delivery in humanitarian and LMIC contexts. Reviews were identified through searches of PubMed, Web of Science, Embase, and Google Scholar, screened in Covidence, and appraised using the Database of Abstracts of Reviews of Effects (DARE) criteria. Data were mapped against the International Federation of the Red Cross and Red Crescent Societies (IFRC) CE Impact Framework. Of 303 deduplicated studies, 39 met inclusion criteria. Most focused on routine childhood vaccines. CE activities were widespread, typically involving community participation, two-way communication, capacity strengthening, and feedback mechanisms. CE interventions were consistently associated with improved vaccine uptake, reduced hesitancy, and enhanced trust. Effective strategies included co-management of campaigns, engagement of religious and community leaders, culturally tailored communication, and school- or home-based delivery supported by trusted local figures. Multi-component interventions combining education, outreach, and digital tools were particularly effective. However, considerable variability existed in how CE was defined and operationalised across studies. CE should be recognised as a core pillar of vaccination strategy rather than an optional addition. It builds trust, fosters ownership, and addressed sociocultural barriers to access. Tailored, multi-component approaches leveraging trusted community figures are especially promising. Definitional ambiguity and inconsistent evaluation frameworks currently limit understanding of what works, for whom, and in what context. Future research should prioritise standardising CE definitions, developing context-sensitive theories of change, and strengthening methods for evaluating CE's contribution to vaccine coverage and equity.",2026
2605.06757v1,arxiv,financial,Introducing Feedback Thinking and System Dynamics Modeling in Economics Education,"Introducing Feedback Thinking and System Dynamics Modeling in Economics Education

System dynamics is a methodology that is widely used in many academic fields. It explains the behavior of social and economic systems with models that capture complex causality and feedback effects. This 'practice paper' discusses the opportunities and barriers for introducing feedback thinking and system dynamics models in the economics curriculum. We start by providing a pricing feedback model that illustrates some of the benefits that system dynamics can provide in enhancing economics education. Then we summarize the experiences of each of the authors in teaching system dynamics on economics educational programs. This includes different approaches to teaching economics with system dynamics that depend on the learning objectives, the preparation of students, and the background of the instructor. We also develop a four-level course hierarchy for using system dynamics in economics teaching. We then point out the tradeoffs that instructors must consider as they introduce new pedagogies for delivering economics material. Finally, we provide some concluding comments with some suggestions for future work. The expected audiences for this paper are instructors as well as graduate students who are considering academia as a profession.",2026-05-07T16:43:04Z
2605.13387v1,arxiv,scientific,$Λ$-enhanced gray-molasses loading and EIT cooling of neutral atoms in nanophotonic traps,"$Λ$-enhanced gray-molasses loading and EIT cooling of neutral atoms in nanophotonic traps

Nanophotonic traps for cold atoms typically have trap volumes that are orders of magnitude smaller than, e.g., free-space optical tweezers. This makes efficient loading of these traps challenging, thereby limiting the total number of atoms coupled to the nanophotonic waveguide. Here, we demonstrate that $Λ$-enhanced gray-molasses ($Λ$GM) can substantially increase the number of trapped atoms in a nanofiber-based cold-atom setup. Specifically, we observe a six-fold increase in the number of loaded atoms compared to conventional red-detuned polarization gradient cooling. Despite the unusually small depth of our optical trap of only 24 $μ$K, we load about 4000 individual Cesium atoms, achieving optical depths exceeding 140 and reaching the collisional blockade regime over a length of approximately 1 mm. After loading, we perform efficient EIT-assisted cooling that is found to increase the trap storage time to 400(9) ms. This is a 5-fold improvement over the passive storage time. Remarkably, EIT-cooling also works with two co-propagating nanofiber-guided light fields and requiries only about a few hundred picowatt of optical power. Our results provide an efficient method to boost both the number of loaded atoms and the storage time of nanophotonic atom traps.",2026-05-13T11:45:32Z
pubmed_41472725,pubmed,medical,Immunobiology of pulmonary fibrosis.,"Immunobiology of pulmonary fibrosis.

Pulmonary fibrosis, an interstitial lung disease, is characterized by progressive thickening and scarring of the lung tissue associated with shortness of breath, decreased vital capacity, and respiratory failure due to the inability to expand and contract the lungs during inspiration with severe morbidity and mortality. The median estimated survival is 2-5 years following diagnosis. Current understanding of how the disease initiates and progresses suggests a set of complex mechanisms involving genetic vulnerability, aging processes, and environmental factors. Mechanistically, the damage of the alveolar epithelial cells (AECs) (type I and type II), followed by recruitment of immune cells and transdifferentiation of fibroblast to myofibroblast play a crucial role in the initiation of a prolonged wound healing response in lungs which eventually leads to fibrosis if healing gets awry. Here, we have systematically reviewed the role of innate and adaptive immunity, as well as interactions of lung parenchyma cells together with the immune cells, cytokines, chemokines and other mediators in the context of pulmonary fibrosis. We have also discussed how the selection of pre-clinical models is important for understanding the disease and successful clinical trial outcome.",2025
2605.10291v1,arxiv,financial,"Generative AI Fuels Solo Entrepreneurship, but Teams Still Lead at the Top","Generative AI Fuels Solo Entrepreneurship, but Teams Still Lead at the Top

Recent advances in generative artificial intelligence (AI) are reshaping who enters entrepreneurship, but not who reaches the top of the quality distribution. Using data on over 160,000 product launches on Product Hunt, we find that entrepreneurial entry increased sharply following the public release of ChatGPT-3.5, driven disproportionately by solo entrepreneurs. This shift toward solo entry is particularly pronounced in categories that historically favored team-based ventures. However, much of this growth reflects low-commitment, experimental entry and does not translate into greater representation among the highest-quality outcomes. Team-based ventures are increasingly dominant in the top tiers of platform rankings. These findings suggest that generative AI lowers barriers to solo entrepreneurship while reinforcing team-based advantages.",2026-05-11T09:53:44Z
2605.13844v1,arxiv,scientific,Fields where torsion forms decompose,"Fields where torsion forms decompose

Over a real field which is an extension of transcendence degree 1 of a hereditarily pythagorean base field, every quadratic form which is torsion decomposes into an orthogonal sum of 2-dimensional torsion forms. This is obtained from a more general study of weakly isotropic forms over henselian valued fields and over function fields in one variable.",2026-05-13T17:59:30Z
2605.13745v1,arxiv,scientific,Amplitude Noise Suppression in Frequency-Doubled Lasers: A Lyapunov Mechanism for Intensity Stabilization in Coupled Oscillator Systems,"Amplitude Noise Suppression in Frequency-Doubled Lasers: A Lyapunov Mechanism for Intensity Stabilization in Coupled Oscillator Systems

Multimode intracavity frequency-doubled lasers can reach states of amplitude noise suppression orders of magnitude beyond the predictions of independent-mode partition statistics. We show that the chi2 coupled-wave dynamics in the doubling crystal admit a Lyapunov functional whose monotone decrease under each crystal pass establishes a constant-intensity manifold as the per-pass descent target of the mode dynamics. We confirm the mechanism in an intracavity frequency-doubled Nd:YVO4-LBO laser, observing a 100 fold contrast between full and Fabry-Perot-filtered output noise at fixed detector bandwidth, well beyond the statistical-averaging baseline. The mechanism rests on the algebraic structure of the coupling, a coherent superposition of oscillators sharing a quadratic dissipative channel, and is therefore a candidate for analogous noise-suppression effects in other coupled oscillator systems with the same algebraic form.",2026-05-13T16:22:53Z
pubmed_41983792,pubmed,medical,"Epidemiological study of hantavirus in Southern Brazil, 2009-2019.","Epidemiological study of hantavirus in Southern Brazil, 2009-2019.

Brazil has the highest number of hantavirus cardiopulmonary syndrome cases on the American continent, with Santa Catarina being the state with the most notifications. This retrospective longitudinal study aimed to describe the epidemiological profile of 177 hantavirus cases reported in Santa Catarina from 2009 to 2019, using data from the Notifiable Diseases Information System (SINAN). Statistical analyses of socio-demographic, clinical, and epidemiological data revealed that the typical patient was a male of working age with low educational attainment, living in a rural area. The highest incidence occurred in the Santa Catarina West, Midwest, and Mountain regions, strongly associated with agricultural activities. The case fatality rate (CFR) was highest among the 15-19-year age group. Clinical risk factors for death included respiratory signs, increased hematocrit, and the need for mechanical ventilation. Patients who sought early care had a higher CFR, possibly due to the initial difficulty of differentiating hantavirus from other viral diseases. Conversely, regions with higher notification rates showed lower CFRs, suggesting better surveillance. This study highlights critical areas for public health intervention and the key characteristics of hantavirus patients (males in rural areas and adolescents aged 15-19 years in regions with low notification rates) and areas for public health intervention. Training for medical professionals in regions with low notification rates should aim to reduce lethality, especially in regions with low reported cases (Itajai river delta and South), where underreporting may be occurring. Furthermore, the high lethality in adolescents and in patients with non-specific initial symptoms requires greater awareness. This study shows the utility of a governmental database in identifying epidemiological patterns and creating public health strategies tailored to regional specificities.",2026
